address	name	length	bytes
0059a959	FrontEndHistoryDequeIterator::SetNode	23	8b44240489410c8b008941040580000000894108c20400
0059a970	FrontEndHistoryDequeIterator::BlockEndSlot	8	8b44240483c008c3
0059a978	FrontEndHistoryDequeIterator::NodeSlot	8	8b44240483c00cc3
0059a985	FrontEndHistoryDeque::EndIterator	8	8b44240483c010c3
0059a9c0	FrontEndHistoryDequeIterator::Equal	18	8b4424048b008b4c24082b01f7d81bc040c3
0059a9dc	FrontEndHistoryDeque::BlockSize	4	6a2058c3
0059a9e0	FrontEndHistoryDequeMapAllocator::Allocate	25	8b44240485c0740cc1e00250e81d40660059eb0233c0c20800
0059a9f9	FrontEndHistoryDequeMapAllocator::Deallocate	20	837c240400740aff742404e80b40660059c20800
0059aa0d	FrontEndHistoryDequeIterator::NodeSlot	8	8b44240483c00cc3
0059aa15	FrontEndHistoryDeque::EndIterator	8	8b44240483c010c3
0059aa1d	FrontEndHistoryDequeIterator::BlockBegin	4	8b4104c3
0059aa64	FrontEndHistoryDeque::FreeBlocks	34	568b742408eb108b0685c0740750e89d3f66005983c6043b74240c72ea5ec20800c3
0059aa86	CCountedPointer<NUISystem::CAction>::ShareData	46	56578b7c24108bf1397e047414e8fcfeffff85ff8b44240c8906897e047402ff075f5ec208008b44240483c004c3
0059aae0	FrontEndHistoryDequeIterator::Current	3	8b01c3
0059aae3	FrontEndHistoryDequeIterator::DistanceThunk	5	e90bfeffff
00594f36	CNewFrontendGameComponent::LoadGame	38	568bf18b06ff5010ff7424088d8e84000000c6462901e87f6840005ec204008b8140010000c3
0066f6b0	CInputTypeMouseButtonEvent::GetControlDirection	18	8b51088b44240489108b490c894804c20800
0066f970	CInputTypeMouseWheelMovementDownEvent::GetControlDirection	25	8b4c2408e8374239008b442404d95804c70000000000c20800
0066f990	C2DVector::DivideByScalar	27	d905d8de22018bc1d8742404d9c0d808d918d84804d95804c20400
0066f9b0	CTCPhysicsRigidBody::SetFacingAnglesFromRHSet	38	8b542404568b328d412889308b72048970048b52088950085ec744240401000000e95a070400
0066f9e0	StoreFieldB4	13	8b4424048981b4000000c20400
0066f9f0	x87_Exp	27	d9eadc4c2404d9c0d9fcd9c9d8e1d9f0d9e8dec1d9fdddd9c20800
0066fa10	CCharString_ConstructCCoopSpiritDef	19	566aff68e85823018bf1e8d1f132008bc65ec3
0066fa30	ZeroFields_0C_10_14_18_1C_20_24	24	33c089412089411c89411889410c894124894114894110c3
0066fa50	CObservable::AddExclusiveObserver	10	8b442404894124c20400
0066fa60	ReturnFloat_1_027	7	d90550b22501c3
0066fa70	ReturnFloat_0_5	7	d9059cf52201c3
0066fa80	ReturnFloat_0_2	7	d905a0052301c3
0066fa90	ReturnFloat_1_1	7	d90554b22501c3
0066faa0	ReturnFloat_1_5	7	d905dcaa2501c3
0066fab0	ScaleGlobalIntToInt64	17	db0550553701d80d24ea3701e9afef5800
0066fad0	ReturnFalse_OneArgument	5	32c0c20400
0066fae0	CTCCoopSpirit::ApplyMovementVector	26	8b4424048b1083c11889118b50048951048b4008894108c20400
0066fb00	CTCCoopSpirit::AddExperience	15	8b51108b44240403d0895110c20400
0066fb10	CTCCoopSpirit::AddExperience	15	8b51108b44240403d0895110c20400
0066fb20	CWorld::DrawGetEnvironment	4	8b4110c3
0066fb30	ClearField10	8	c7411000000000c3
0066fb40	ReturnField28	4	8b4128c3
0066fb50	KillField04ThingIfFieldB4NonPositive	34	8b490485c9741ad981b4000000d81ddcde2201dfe0f6c4417a076a01e80fa0e5ffc3
00494410	DispatchFrontendInputAction	25	8b4424088b4c24045051e8818ef7ff8bc8e8da8ff7ffc20800
00494440	CFrontendGameComponent::SetActiveInputSlot	17	8b4424048d5481288991ec010000c20400
004944c0	CFrontendGameComponent::ClearTextInput	26	8bd15733c0b9200000008dba68010000f3ab8982e80100005fc3
004944e0	CFrontendGameComponent::ProcessTextInputCharacter	60	668b5424046683fa088b81e8010000751685c07e24488981e8010000c684086801000000c2040083f87f7d0d88940868010000ff81e8010000c20400
00494430	FrontendInputActionNoOp	1	c3
00494460	FrontendInputActionNoOp	1	c3
00494470	CFrontendGameComponent::DefaultInputActionResult	3	32c0c3
00494480	CFrontendGameComponent::DefaultInputActionResult	3	32c0c3
00494490	CFrontendGameComponent::RejectInputAction	5	32c0c20400
004944a0	CFrontendGameComponent::DefaultInputActionResult	3	32c0c3
004944b0	CFrontendGameComponent::DefaultInputActionResult	3	32c0c3
