address	name	length	bytes
008b32f0	CCombatSequenceBase::OnStart	1	c3
008b9440	CCreatureAction_FinishGhostSwordSpell::PerformAction	1	c3
008b9450	CCreatureAction_BuildUpWillLightningSpell::PerformAction	1	c3
008bd900	CCreatureAction_CastWillForceSpell::PerformAction	1	c3
008bd910	CCreatureAction_BuildWillForceSpell::PerformAction	1	c3
008bd920	CCreatureAction_FinishWillForceSpell::PerformAction	1	c3
008bd950	CCreatureAction_BuildUpWillEnflameSpell::PerformAction	1	c3
008bd960	CCreatureAction_ReleaseWillEnflameSpell::PerformAction	1	c3
008bd990	CCreatureAction_CastPhysicalShieldSpell::PerformAction	1	c3
008bd9a0	CCreatureAction_BuildUpPhysicalShieldSpell::PerformAction	1	c3
008bd9b0	CCreatureAction_ReleasePhysicalShieldSpell::PerformAction	1	c3
008bda00	CCreatureAction_BuildWillTurncoatSpell::PerformAction	1	c3
008bda10	CCreatureAction_FinishWillTurncoatSpell::PerformAction	1	c3
008bda20	CCreatureAction_BuildDrainLifeSpell::PerformAction	1	c3
008bda30	CCreatureAction_FinishDrainLifeSpell::PerformAction	1	c3
008bda40	CCreatureAction_BuildHealLifeSpell::PerformAction	1	c3
008bda50	CCreatureAction_FinishHealLifeSpell::PerformAction	1	c3
008bda60	CCreatureAction_CastWillGhostSwordSpell::PerformAction	1	c3
008bda70	CCreatureAction_BuildGhostSwordSpell::PerformAction	1	c3
008bda80	CCreatureAction_CastWillSummonSpell::PerformAction	1	c3
008bda90	CCreatureAction_BuildUpWillSummonSpell::PerformAction	1	c3
008bdaa0	CCreatureAction_ReleaseWillSummonSpell::PerformAction	1	c3
008bdab0	CCreatureAction_CastWillLightningSpell::PerformAction	1	c3
008bdac0	CCreatureAction_ReleaseWillLightningSpell::PerformAction	1	c3
008bdad0	CCreatureAction_CastWillFireballSpell::PerformAction	1	c3
008bdae0	CCreatureAction_BuildFireballSpell::PerformAction	1	c3
008bdb20	CCreatureAction_BeingForcePushed::PerformAction	1	c3
008bdb40	CCreatureAction_CastDivineWrathSpell::PerformAction	1	c3
008bdb60	CCreatureAction_BuildUpDivineWrathSpell::PerformAction	1	c3
008bdb80	CCreatureAction_ReleaseDivineWrathSpell::PerformAction	1	c3
008bdbd0	CCreatureAction_ReleaseAndLoopDivineWrathSpell::PerformAction	1	c3
008bdc20	CCreatureAction_CastUnholyPowerSpell::PerformAction	1	c3
008bdc40	CCreatureAction_BuildUpUnholyPowerSpell::PerformAction	1	c3
008bdc60	CCreatureAction_ReleaseUnholyPowerSpell::PerformAction	1	c3
008bdcb0	CCreatureAction_ReleaseAndLoopUnholyPowerSpell::PerformAction	1	c3
008c6050	CCreatureAction_TrollPursue::PerformAction	1	c3
008aba60	CCreatureAction_SitDown::IsUsingAnimationMovement	3	b001c3
008aba70	CCreatureAction_SitDown::IsPreventingNormalMovement	3	b001c3
008aba80	CCreatureAction_SitDown::IsPreventingLookTurning	3	b001c3
008aba90	CCreatureAction_SitDown::IsOverrideableByActionOfSamePriority	3	b001c3
