address	name	length	bytes
0045266b	CHitLocationsDef::GetSizeofClass	4	6a3458c3
00453884	CDegradableDef::GetSizeofClass	4	6a3c58c3
00453e80	CCombatAbilityBlockUnarmedAttackDef::GetSizeofClass	4	6a5858c3
00453e9a	CCombatAbilityBlockLightWeaponAttackDef::GetSizeofClass	4	6a5858c3
00453eb4	CCombatAbilityBlockHeavyWeaponAttackDef::GetSizeofClass	4	6a5858c3
00453ece	CCombatAbilityBlockProjectileWeaponAttackDef::GetSizeofClass	4	6a5858c3
00454643	CSpecialEffectsDef::GetSizeofClass	4	6a3458c3
004536a9	CThingMultiArrowShotDef::Copy	5	e900000000
00453705	CInventoryItemDef::Copy	5	e900000000
004537a0	CPhysicsDef::Copy	5	e900000000
004537e4	?Copy@CTCNoiseDef@@UAEXPBVCDefClassBase@@@Z	5	e900000000
00453810	CCarrySlotDef::Copy	5	e900000000
00453899	CActionUseDef::Copy	5	e900000000
0045390c	CHeroMarriageDef::Copy	5	e900000000
00453b48	CCreatureStatsDef::Copy	5	e900000000
00453be3	CCoopSpiritDef::Copy	5	e900000000
00453c1b	CContextSensitiveItemDef::Copy	5	e900000000
00453c53	CBonusItemDef::Copy	5	e900000000
00453ce5	CHeroTitleDef::Copy	5	e900000000
00453d41	CTattooDef::Copy	5	e900000000
00453f5e	CCombatAbilityStrafeDef::Copy	5	e900000000
00453f8e	CCombatAbilityUseProjectileWeaponDef::Copy	5	e900000000
00453fc4	CDragonActionSwoopDef::Copy	5	e900000000
00454038	CDragonActionNapalmDef::Copy	5	e900000000
00454083	CAugmentationDef::Copy	5	e900000000
004540ec	CJackDragonDef::Copy	5	e900000000
0045417e	CBriarRoseDef::Copy	5	e900000000
004541da	CSnowTrollDef::Copy	5	e900000000
00454267	CSummonerDef::Copy	5	e900000000
004542cf	CExplosiveTrailDef::Copy	5	e900000000
0045442f	CDegradableDef::Copy	5	e900000000
0045473a	CVillagePeopleDef::Copy	5	e900000000
004525e3	CVillagePeopleDef::GetSizeofClass	6	b8c4000000c3
004538e5	CTargetingDef::GetSizeofClass	6	b890000000c3
00452593	CSpecialAbilitiesDrainLifeDataDef::Transfer	16	83c128518b4c2408e8c1eafdffc20400
004525a3	CSpecialAbilitiesForcePushDataDef::Transfer	16	83c128518b4c2408e8b1eafdffc20400
00452b04	CHairCardDef::Transfer	16	83c128518b4c2408e8f1e5fdffc20400
00452ccd	CDragonActionHoverDef::Transfer	16	83c128518b4c2408e887e3fdffc20400
00452df1	CAbilityDef::Transfer	16	83c128518b4c2408e803000000c20400
0045185f	OnReadFinished	23	568bf1e845f7ffff8b3685f6740756e8a1d17a00595ec3
004518a0	OnReadFinished	23	568bf1e851f7ffff8b3685f6740756e860d17a00595ec3
00451940	OnReadFinished	23	568bf1e877f7ffff8b3685f6740756e8c0d07a00595ec3
00451981	OnReadFinished	23	568bf1e883f7ffff8b3685f6740756e87fd07a00595ec3
004519c2	OnReadFinished	23	568bf1e88ff7ffff8b3685f6740756e83ed07a00595ec3
00451a03	OnReadFinished	23	568bf1e89bf7ffff8b3685f6740756e8fdcf7a00595ec3
00451a44	OnReadFinished	23	568bf1e8a7f7ffff8b3685f6740756e8bccf7a00595ec3
00451a85	OnReadFinished	23	568bf1e8b3f7ffff8b3685f6740756e87bcf7a00595ec3
00451ac6	OnReadFinished	23	568bf1e8bff7ffff8b3685f6740756e83acf7a00595ec3
004543af	OnReadFinished	23	568bf1e850f2ffff8b3685f6740756e851a67a00595ec3
00453aae	CSpecialAbilitiesDrainLifeDataDef::Copy	25	56578b7c240c578bf1e854e4fdff8b47285f8946285ec20400
00453dc7	CHairCardDef::Copy	25	56578b7c240c578bf1e83be1fdff8b47285f8946285ec20400
00453e51	~CAIStateGroup_HoverWanderAroundThing	25	568bf18d4e28e8beffffffc706a00b23018bce5ee9e6865a00
0045406a	CDragonActionHoverDef::Copy	25	56578b7c240c578bf1e898defdff8b47285f8946285ec20400
004540d3	CAbilityDef::Copy	25	56578b7c240c578bf1e82fdefdff8b47285f8946285ec20400
00453af9	`vector_deleting_destructor'	28	568bf1e814000000f644240801740756e8aeae7a00598bc65ec20400
00453ba8	`vector_deleting_destructor'	28	568bf1e814000000f644240801740756e8ffad7a00598bc65ec20400
004545ee	`vector_deleting_destructor'	28	568bf1e814000000f644240801740756e8b9a37a00598bc65ec20400
0045324f	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e8d6e4ffff8bc65ec9c3e9f6e4ffff
00453309	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e8c8e4ffff8bc65ec9c3e9e8e4ffff
0045336d	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e8b4e4ffff8bc65ec9c3e9d4e4ffff
004533c5	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e8dee4ffff8bc65ec9c3e9fee4ffff
00453429	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e8d9e4ffff8bc65ec9c3e9f9e4ffff
00453447	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e8fce4ffff8bc65ec9c3e91ce5ffff
00453465	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e81fe5ffff8bc65ec9c3e93fe5ffff
004534a6	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e81fe5ffff8bc65ec9c3e93fe5ffff
00453536	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e811e5ffff8bc65ec9c3e931e5ffff
00453554	CopyBackBufferToTexture	30	558bec51568d45ff508d45ff508bf1e834e5ffff8bc65ec9c3e954e5ffff
00451c83	`vector_deleting_destructor'	31	568bf18d4e04e82ceffffff644240801740756e821cd7a00598bc65ec20400
00453bc4	OnDie	31	568bf18b462885c0740750e840ae7a0059c706a00b23018bce5ee96d895a00
00453ed2	CCombatAbilityFlourishCounterAttackDef::Copy	31	56578b7c240c578bf1e830e0fdff83c728578d4e28e8050000005f5ec20400
00453f3f	CCombatAbilityGetHitCounterAttackDef::Copy	31	56578b7c240c578bf1e8c3dffdff83c728578d4e28e898ffffff5f5ec20400
00454248	CGuildMasterDef::Copy	31	56578b7c240c578bf1e8badcfdff8b47288946288b472c5f89462c5ec20400
0045460a	OnDie	31	568bf18b463085c0740750e8faa37a0059c706a00b23018bce5ee9277f5a00
00454690	CTextureReplacementDef::GetSizeofClass	31	6a3458c38bc133c98908894804894808c38b0185c0740750e867a37a0059c3
00452b93	?Transfer@CCombatAbilityStrafeDef@@UAEXAAVCPersistContext@@@Z	33	568bf18b4c24088d464050e8bee4fdff8b4c240883c62856e89dffffff5ec20400
004530bb	?Transfer@CGuildMasterDef@@UAEXAAVCPersistContext@@@Z	33	568bf18b4c24088d462850e896dffdff8b4c240883c62c56e889dffdff5ec20400
004538eb	OnPersist	33	558bec515156d9ee8d45ffd95df8508d45f8506a058bf1e8e0ddffff8bc65ec9c3
0045322c	OnReadFinished	35	51568bf18b56048b0e8d44240750e8d5d7ffff8b3685f6740756e8c9b77a00595e59c3
004532c3	OnReadFinished	35	51568bf18b56048b0e8d44240750e866d7ffff8b3685f6740756e832b77a00595e59c3
004532e6	OnReadFinished	35	51568bf18b56048b0e8d44240750e85fd7ffff8b3685f6740756e80fb77a00595e59c3
00453327	OnReadFinished	35	51568bf18b56048b0e8d44240750e83ad7ffff8b3685f6740756e8ceb67a00595e59c3
0045334a	OnReadFinished	35	51568bf18b56048b0e8d44240750e833d7ffff8b3685f6740756e8abb67a00595e59c3
004533e3	OnReadFinished	35	51568bf18b56048b0e8d44240750e8bcd6ffff8b3685f6740756e812b67a00595e59c3
00453406	OnReadFinished	35	51568bf18b56048b0e8d44240750e8b5d6ffff8b3685f6740756e8efb57a00595e59c3
00453483	OnReadFinished	35	51568bf18b56048b0e8d44240750e854d6ffff8b3685f6740756e872b57a00595e59c3
004545ca	OnReadFinished	36	8b0185c0740750e83ea47a0059c36a3ce83ba47a0085c05974078bc8e97cf2ffff33c0c3
00453842	CSmashableDef::Copy	37	56578b7c240c578bf1e8c0e6fdff8a47258846258b47288946288b472c5f89462c5ec20400
0045180f	OnReadFinished	38	568bf1e839f7ffff8b3685f6740756e8f1d17a00595ec38bc133c98908894804894808c20400
004537e9	operator=	39	56578b7c240c578bf1e819e7fdff8b47288946288b472c89462c8b47308946305f8bc65ec20400
00453ef1	operator=	39	56578b7c240c578bf1e8190000008a47188846188a47198846198b471c89461c5f8bc65ec20400
00453f18	operator=	39	8bc18b4c24048b51048950048b51088950088b510c89500c8b51108950108b4914894814c20400
00453607	OnKill	41	568bf1837e0400741e8b06ff7004e831e5ffff8b068940088b06836004008b0689400c836604005ec3
00453630	OnKill	41	568bf1837e0400741e8b06ff7004e83fe5ffff8b068940088b06836004008b0689400c836604005ec3
