address	thunk_symbol	role	status	source
00993b10	FableOpenRetailMemoryStreamDestroy_009A8840	MemoryStreamDestroy	landed-byte-exact	rebuild/src/compiled/00/99/CChunkedFileChunk_CChunkedFileChunk_00993b10.cpp
00993bc0	FableOpenRetailSetPosition_009A8840	SetPosition	landed-byte-exact	rebuild/src/compiled/00/99/CDataInputStream_SetPosition_00993bc0.cpp
00993ca0	FableOpenRetailReadOverflow_009A8840	ReadOverflow	landed-byte-exact	rebuild/src/compiled/00/99/CDataInputStream_ReadWithSrcChunkOverflow_00993ca0.cpp
00994700	FableOpenRetailFileStreamConstruct_009A8840	FileStreamConstruct	landed-byte-exact	rebuild/src/compiled/00/99/CFileDataInputStream_CFileDataInputStream_00994700.cpp
00994780	FableOpenRetailFileStreamDestroy_009A8840	FileStreamDestroy	landed-byte-exact	rebuild/src/compiled/00/99/CFileDataInputStream_dtor_00994780.cpp
00995d30	FableOpenRetailReadNullString_009A8840	ReadNullString	landed-byte-exact	rebuild/src/compiled/00/99/CMemoryDataInputStream_ReadNullTerminatedString_00995d30.cpp
00999230	FableOpenRetailPathExists_009A8840	PathExists	landed-byte-exact	rebuild/src/compiled/00/99/global_PathExists_00999230.cpp
0099a2f0	FableOpenRetailDiskBaseConstruct_009A8840	DiskBaseConstruct	landed-byte-exact	rebuild/src/compiled/00/99/CBase_CBase_0099a2f0.cpp
0099eae0	FableOpenRetailCharDestroy_009A8840	CharDestroy	landed-byte-exact	rebuild/src/compiled/00/99/CCharString_Destructor_0099eae0.cpp
0099efb0	FableOpenRetailCharAssign_009A8840	CharAssign	landed-byte-exact	rebuild/src/compiled/00/99/CCharString_operatorassign_0099efb0.cpp
009a9bb0	FableOpenRetailDiskOwnerDestroy_009A8840	DiskOwnerDestroy	landed-byte-exact	rebuild/src/compiled/00/9a/global_DestvalCCountedPointer_009a9bb0.cpp
009a9bf0	FableOpenRetailDiskOwnerAssign_009A8840	DiskOwnerAssign	landed-byte-exact	rebuild/src/compiled/00/9a/CCountedPointer_CCountedPointeroperatorassign_009a9bf0.cpp
009a9d10	FableOpenRetailBankOwnerConstruct_009A8840	BankOwnerConstruct	landed-byte-exact	rebuild/src/compiled/00/9a/CCountedPointer_CCountedPointerCFileInfoconstructa_009a9d10.cpp
00bfe9bc	FableOpenRetailOperatorDelete_009A8840	OperatorDelete	landed-byte-exact	rebuild/src/compiled/00/bf/global_operatordelete_00bfe9bc.cpp
00bfea14	FableOpenRetailFree_009A8840	Free	landed-byte-exact	rebuild/src/compiled/00/bf/global_free_00bfea14.cpp
00bfea1a	FableOpenRetailOperatorNew_009A8840	OperatorNew	landed-byte-exact	rebuild/src/compiled/00/bf/global_operatornew_00bfea1a.cpp
00411910	FableOpenRetailBufferAllocate_009A8840	BufferAllocate	faithful-behavior	rebuild/runtime/openretailbank/faithful/BufferAllocate_00411910.cpp
00994930	FableOpenRetailMemoryStreamConstruct_009A8840	MemoryStreamConstruct	faithful-behavior	rebuild/runtime/openretailbank/faithful/MemoryStreamConstruct_00994930.cpp
0099aed0	FableOpenRetailCharConstruct_009A8840	CharConstruct	faithful-behavior	rebuild/runtime/openretailbank/faithful/CharConstruct_0099aed0.cpp
0099b2c0	FableOpenRetailWideToChar_009A8840	WideToChar	faithful-behavior	rebuild/runtime/openretailbank/faithful/WideToChar_0099b2c0.cpp
009a9b60	FableOpenRetailDiskOwnerConstruct_009A8840	DiskOwnerConstruct	faithful-behavior	rebuild/runtime/openretailbank/faithful/DiskOwnerConstruct_009a9b60.cpp
009a9c80	FableOpenRetailThreadedReset_009A8840	ThreadedReset	faithful-behavior	rebuild/runtime/openretailbank/faithful/ThreadedReset_009a9c80.cpp
009aaaa0	FableOpenRetailBankListInsert_009A8840	BankListInsert	faithful-behavior	rebuild/runtime/openretailbank/faithful/BankListInsert_009aaaa0.cpp
009ac4d0	FableOpenRetailBankConstruct_009A8840	BankConstruct	faithful-behavior	rebuild/runtime/openretailbank/faithful/BankConstruct_009ac4d0.cpp
009ac530	FableOpenRetailContainedBankIndex_009A8840	ContainedBankIndex	faithful-behavior	rebuild/runtime/openretailbank/faithful/ContainedBankIndex_009ac530.cpp
0098dfd0	FableOpenRetailThreadedConstruct_009A8840	ThreadedConstruct	MISSING	(needs reconstruction)
0098e1e0	FableOpenRetailThreadedOpen_009A8840	ThreadedOpen	MISSING	(needs reconstruction)
