#address	name	kind	type	source	comment
0x1238c8c	g_pCScriptThingVTable	data	void**	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:195	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:195 type=void**
0x1260ef4	g_pMovieObjectVTable	data	void**	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:190	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:190 type=void**
0x127094c	g_pCScriptGameResourceObjectScriptedThingBaseVTable	data	void**	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:194	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:194 type=void**
0x12ea57c	g_pEntityScriptBindingVTable	data	void**	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:180	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:180 type=void**
0x12f5c24	pFunc_pVTable	data	void**	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\LuaQuestHost.cpp:107	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\LuaQuestHost.cpp:107 type=void**
0x12f5c24	pSpawnedFunc_pVTable	data	void**	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.h:302	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.h:302 type=void**
0x143e8f8	g_pDSTGame	data	CGameScriptInterfaceBase**	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:177	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:177 type=CGameScriptInterfaceBase**
0x4045c0	CPersistContext_Transfer_bool_API	function	tCPersistContext_Transfer_bool	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:202	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:202 type=tCPersistContext_Transfer_bool
0x410620	CPersistContext_Transfer_float_API	function	tCPersistContext_Transfer_float	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:205	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:205 type=tCPersistContext_Transfer_float
0x4106f0	CPersistContext_Transfer_uint_API	function	tCPersistContext_Transfer_uint	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:206	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:206 type=tCPersistContext_Transfer_uint
0x4109a0	CPersistContext_Transfer_string_API	function	tCPersistContext_Transfer_string	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:204	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:204 type=tCPersistContext_Transfer_string
0x410be0	CPersistContext_Transfer_int_API	function	tCPersistContext_Transfer_int	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:203	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:203 type=tCPersistContext_Transfer_int
0x6e7ab0	CleanupMoviePImp_API	function	tCleanupPImp	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:191	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:191 type=tCleanupPImp
0x7e74d0	CSGROSTB_Destroy_API	function	tCSGROSTB_Destructor	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:207	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:207 type=tCSGROSTB_Destructor
0x99a380	CBaseObject_Construct_API	function	tCBaseObject_Constructor	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:187	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:187 type=tCBaseObject_Constructor
0x99a3b0	CBaseObject_Assign_API	function	tCBaseObject_AssignmentOperator	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:188	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:188 type=tCBaseObject_AssignmentOperator
0x99a430	CBaseObject_Destroy_API	function	tCBaseObject_Destructor	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:189	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:189 type=tCBaseObject_Destructor
0x99e4c0	CCharString_ToConstChar_API	function	tCCharString_ToConstChar	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:197	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:197 type=tCCharString_ToConstChar
0x99e7f0	GFCharStringToInt_API	function	tGFCharStringToInt	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:198	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:198 type=tGFCharStringToInt
0x99eae0	CCharString_Destroy	function	tCCharString_Destructor	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:168	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:168 type=tCCharString_Destructor
0x99ebf0	CCharString_Construct_Literal	function	tCCharString_Constructor_Literal	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:166	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:166 type=tCCharString_Constructor_Literal
0x99ec30	CCharString_Construct_Copy	function	tCCharString_Constructor_Copy	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:167	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:167 type=tCCharString_Constructor_Copy
0x99efb0	CCharString_Assign_API	function	tCCharString_AssignmentOperator	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:196	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:196 type=tCCharString_AssignmentOperator
0x99f690	CCharString_OperatorPlus_API	function	tCCharString_OperatorPlus	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:200	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:200 type=tCCharString_OperatorPlus
0x99f830	GFIntToCharString_API	function	tGFIntToCharString	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:199	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:199 type=tGFIntToCharString
0xbfea0e	Game_malloc	function	t_malloc	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:164	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:164 type=t_malloc
0xbfea14	Game_free	function	t_free	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:165	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:165 type=t_free
0xcb5ac0	CheckSection	function	tCheckSection	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:169	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:169 type=tCheckSection
0xcb5c90	AddScript	function	tAddScript	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:170	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:170 type=tAddScript
0xcb7940	IsActiveThreadTerminating_Quest_API	function	tIsActiveThreadTerminating_Quest	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:182	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:182 type=tIsActiveThreadTerminating_Quest
0xcb7e50	AddSpawnedFunction_func	function	tAddSpawnedFunction	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:174	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:174 type=tAddSpawnedFunction
0xcb8110	CScriptBase_Construct	function	tCScriptBase_Constructor	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:172	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:172 type=tCScriptBase_Constructor
0xcb8230	AddEntityScriptBinding_API	function	tAddEntityScriptBinding	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:178	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:178 type=tAddEntityScriptBinding
0xcb8930	PostAddScriptedEntities_CScriptBase_API	function	tPostAddScriptedEntities_CScriptBase	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:179	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:179 type=tPostAddScriptedEntities_CScriptBase
0xcbe2ff	IsDistanceBetweenThingsUnder_API	function	tIsDistanceBetweenThingsUnder	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:201	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:201 type=tIsDistanceBetweenThingsUnder
0xcbfab8	SetScriptActiveStatus_Func	function	tSetScriptActiveStatus	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:171	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:171 type=tSetScriptActiveStatus
0xcbfb7d	RunCutsceneMacro_Func	function	tRunCutsceneMacro	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:183	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:183 type=tRunCutsceneMacro
0xcd23b9	InitScriptObjectHelper1_API	function	tInitScriptObjectHelper1	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:192	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:192 type=tInitScriptObjectHelper1
0xcd2770	InitScriptObjectHelper2_API	function	tInitScriptObjectHelper2	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:193	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:193 type=tInitScriptObjectHelper2
0xcd3d2e	StdMap_OperatorBracket_API	function	tStdMap_OperatorBracket	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:186	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:186 type=tStdMap_OperatorBracket
0xcd4ac0	pEmptyDataAlloc	data	void*	..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:175	FSE ASLR source: ..\..\Code\FQT\SourceFilesToReference\FSE\FableScriptExtender-master\FableScriptExtender\FableAPI.cpp:175 type=void*
