target_address	category	calls	scripts	roles	helper_names
0x00CBD510	lifecycle-cleanup	125	125	destructor	NParticleEngine::CParticleEmitter::DeleteAllParticles
0x004AA840	object-lifetime	280	64	Init,Main,destructor	C3DClothPrimitive::~C3DClothPrimitive
0x0099A380	object-lifetime	42	22	Main	CBaseIntelligentPointer::CBaseIntelligentPointer
0x00CD4470	object-lifetime	22	18	Main,destructor	CTimer::~CTimer
0x00CBFB7D	engine-or-script-helper	44	15	Main	RunCutsceneMacro_Func
0x00CDBFB0	runtime-support	34	15	Main,destructor	StdMap_Destroy_API
0x007E72A0	object-lifetime	50	14	Init,Main	CCarriedReadableDef::CCarriedReadableDef
0x00CDBF70	runtime-support	28	13	Main	StdMap_Construct_API
0x0099A430	object-lifetime	20	13	Main	CPhysicsMeshInfo::~CPhysicsMeshInfo
0x006E7B60	object-lifetime	23	12	Main	CCarriedReadableDef::CCarriedReadableDef
0x004ABE90	object-lifetime	11	11	Main	CScriptThing::CScriptThing
0x00CBE960	engine-or-script-helper	13	8	Main	CSubtitleRenderer::SetText
0x00BFEA14	runtime-support	15	7	Main	free
0x00BFEB16	runtime-support	15	7	Init,Main	rand
0x00BFEA70	runtime-support	10	6	Main,OnPersist	__ftol2
0x00CBE87F	engine-or-script-helper	21	4	Main	CSubtitleRenderer::SetText
0x0099A3B0	object-lifetime	11	4	Main	CFourierAnalysis::CFourierAnalysis
0x006E7B40	object-lifetime	6	4	Init,Main	CCarriedReadableDef::CCarriedReadableDef
0x009AC310	object-lifetime	6	4	Main,destructor	LTextTreeWalkThrough__Dtor
0x00BFEB3A	runtime-support	3	3	Main	strstr
0x00433530	runtime-support	50	2	Init	std__vector__Reallocate
0x00414EA0	engine-or-script-helper	6	2	Main,destructor	CDefendingCombatantInfo::CCombatWheel::ResetRings
0x0099F690	engine-or-script-helper	3	2	Init,Main	CCharString_OperatorPlus_API
0x007ADD50	lifecycle-cleanup	2	2	destructor	LTextTreeWalkThrough_Destructor
0x0099F830	engine-or-script-helper	2	2	Init,Main	GFIntToCharString_API
0x00BFEA0E	runtime-support	2	2	Main	malloc
0x00CB7AA0	script-runtime	2	2	Main	CScriptBase::KillSpawnedFunction
0x0044BFF0	runtime-support	25	1	Main	std__vector__push_back
0x00BFEB28	engine-or-script-helper	4	1	Main	_CIfmod
0x00D7AA30	engine-or-script-helper	3	1	Main	Game_InitializeHeroCharacter
0x00D7FC70	engine-or-script-helper	3	1	Main	WatchForRoundsInArena_Setup
0x00D872D0	engine-or-script-helper	3	1	Main	Script_InitializeComponents
0x00DF9B80	engine-or-script-helper	3	1	Main	CScriptBase_FilterCombatantsByType
0x004E34B2	engine-or-script-helper	2	1	Main	CFileInstaller::CActiveFile::OnReadFinished
0x0075F580	engine-or-script-helper	2	1	Main	CNavigatorQueueManager::FrameUpdate
0x00A14040	engine-or-script-helper	2	1	Main	Math_CartesianToSpherical
0x00CBE0B3	object-lifetime	2	1	Main	CWideScreenMagicPauseEntities::~CWideScreenMagicPauseEntities
0x00CD319B	engine-or-script-helper	2	1	Main	CFileInstaller::CActiveFile::OnReadFinished
0x00CFF9A0	engine-or-script-helper	2	1	Main	Main_InitializeHeroMorphComponents
